AuthorID,Author,Date,Content,Attachments,Reactions
7.36302E+17,0_____________________________.0,2025-02-21T19:41:23.0550000+01:00,niga,,
6.03883E+17,zipherious,2025-02-21T19:41:40.1610000+01:00,rasist,,
7.36302E+17,0_____________________________.0,2025-02-21T19:41:52.7930000+01:00,keep talkign im almost thjere,,
6.03883E+17,zipherious,2025-02-21T19:42:12.6620000+01:00,perverzneš,,
6.03883E+17,zipherious,2025-02-21T19:42:22.9490000+01:00,pa ssej to je vredu,,
7.36302E+17,0_____________________________.0,2025-02-21T19:42:39.0290000+01:00,kolk si star tho 🤞,,
6.03883E+17,zipherious,2025-02-21T19:42:46.1810000+01:00,18,,
7.36302E+17,0_____________________________.0,2025-02-21T19:42:52.8390000+01:00,aw man,,
7.36302E+17,0_____________________________.0,2025-02-21T19:42:54.3650000+01:00,mislim,,
7.36302E+17,0_____________________________.0,2025-02-21T19:42:55.1480000+01:00,phew,,
7.36302E+17,0_____________________________.0,2025-02-21T19:42:56.2720000+01:00,thank god,,
6.03883E+17,zipherious,2025-02-21T19:43:06.9080000+01:00,AYYYYOOOOOO,,
6.03883E+17,zipherious,2025-02-21T19:43:23.9330000+01:00,brotha,,
7.36302E+17,0_____________________________.0,2025-02-21T19:43:30.6620000+01:00,https://media.discordapp.net/attachments/466642349783777290/1058367798050574336/ezgif-5-2be86aac9c.gif,,
7.36302E+17,0_____________________________.0,2025-02-21T19:43:42.4280000+01:00,XD,,
6.03883E+17,zipherious,2025-02-21T19:43:49.1370000+01:00,brooo,,
6.03883E+17,zipherious,2025-02-21T19:43:52.7490000+01:00,i mean...,,
6.03883E+17,zipherious,2025-02-21T19:44:00.8200000+01:00,...,,
6.03883E+17,zipherious,2025-02-21T19:44:13.2950000+01:00,nah i aint gay,,
6.03883E+17,zipherious,2025-02-21T19:44:18.2430000+01:00,only half,,
7.36302E+17,0_____________________________.0,2025-02-21T19:44:19.1460000+01:00,nIgga,,
7.36302E+17,0_____________________________.0,2025-02-21T19:44:24.2600000+01:00,u gay,,
6.03883E+17,zipherious,2025-02-21T19:44:28.2100000+01:00,no,,
6.03883E+17,zipherious,2025-02-21T19:44:32.6620000+01:00,i half gay,,
7.36302E+17,0_____________________________.0,2025-02-21T19:44:36.8640000+01:00,bi,,
7.36302E+17,0_____________________________.0,2025-02-21T19:44:39.0790000+01:00,bi yuorself?,,
6.03883E+17,zipherious,2025-02-21T19:44:47.5160000+01:00,for now,,
6.03883E+17,zipherious,2025-03-10T21:23:47.4170000+01:00,congrats bro,,
6.03883E+17,zipherious,2025-03-10T21:23:53.3570000+01:00,u qualified,,
7.36302E+17,0_____________________________.0,2025-03-10T21:26:41.0770000+01:00,thank bro,,
7.36302E+17,0_____________________________.0,2025-03-10T21:26:43.2840000+01:00,u too <3,,
7.36302E+17,0_____________________________.0,2025-03-10T21:26:51.7190000+01:00,im surprised kachiga qualified lmao,,
6.03883E+17,zipherious,2025-03-10T21:26:54.0040000+01:00,thxthx,,
7.36302E+17,0_____________________________.0,2025-03-10T21:26:55.1350000+01:00,or did he,,
6.03883E+17,zipherious,2025-03-10T21:27:01.8900000+01:00,idk,,
6.03883E+17,zipherious,2025-03-10T21:27:05.9430000+01:00,like,,
6.03883E+17,zipherious,2025-03-10T21:27:17.1620000+01:00,men se zdi da sm bil 45,,
6.03883E+17,zipherious,2025-03-10T21:27:24.2020000+01:00,ti si bil 39 al neki,,
6.03883E+17,zipherious,2025-03-10T21:27:30.1830000+01:00,im hard pa nevem,,
7.36302E+17,0_____________________________.0,2025-03-10T21:27:44.2460000+01:00,treba tryhardat,,
6.03883E+17,zipherious,2025-03-10T21:27:48.2760000+01:00,kachiga pa nism vidu,,
6.03883E+17,zipherious,2025-03-10T21:27:57.2630000+01:00,fr,,
6.03883E+17,zipherious,2025-03-10T21:28:01.0100000+01:00,locking in now,,
7.36302E+17,0_____________________________.0,2025-03-10T21:28:01.6510000+01:00,kachiga je bil na zacetku streama lmaooo,,
6.03883E+17,zipherious,2025-03-10T21:28:06.9020000+01:00,XDDDDD,,
6.03883E+17,zipherious,2025-03-10T21:29:19.3500000+01:00,welp cya in the first round :3,,
6.03883E+17,zipherious,2025-03-10T21:29:35.3870000+01:00,we make it to finals,,
6.03883E+17,zipherious,2025-03-10T21:29:42.9600000+01:00,amirite,,
7.36302E+17,0_____________________________.0,2025-03-10T21:30:05.1590000+01:00,nobody's buying us :#,,
6.03883E+17,zipherious,2025-03-10T21:30:19.5740000+01:00,theyll have too,,
6.03883E+17,zipherious,2025-03-10T21:30:24.0350000+01:00,at least someone,,
7.36302E+17,0_____________________________.0,2025-03-12T19:28:52.6880000+01:00,,,
6.03883E+17,zipherious,2025-03-20T20:18:54.5580000+01:00,,https://cdn.discordapp.com/attachments/1342566851837952081/1352360775200669767/Andy_Gillion_-_Skyless_feat._Jeff_Loomis.osz?ex=6871639e&is=6870121e&hm=2f6b0ee942bcfec5a980dae688b6c5b569074f0ceab9e6b11ef4e29956afff10&,
7.36302E+17,0_____________________________.0,2025-03-20T20:31:53.3010000+01:00,https://docs.google.com/spreadsheets/d/1AMJRfJ6GEqEyJZM13CXauOqePmzcWp7ktOq6hRv3L9g/edit?gid=2035766321#gid=2035766321,,
6.03883E+17,zipherious,2025-03-21T23:03:08.6190000+01:00,,https://cdn.discordapp.com/attachments/1342566851837952081/1352764494090207292/osu_2025-03-21_23-02-43.png?ex=68718a1c&is=6870389c&hm=c9e14eff2934c8f7a04fd7918e39b13e30a6553cd8448b872027ea087f0a35d3&,
6.03883E+17,zipherious,2025-03-21T23:03:18.7210000+01:00,zdej mam pa dve 400,,
7.36302E+17,0_____________________________.0,2025-03-22T00:07:57.3570000+01:00,Disgusting farmer,,
6.03883E+17,zipherious,2025-03-22T00:08:25.1620000+01:00,well you win some you lose few braincells,,
7.36302E+17,0_____________________________.0,2025-03-22T00:08:55.2100000+01:00,Aint much of it to begin with :3,,
6.03883E+17,zipherious,2025-03-22T00:09:03.0790000+01:00,bro stfu,,
