Timestamp (s),Key Code,Analog Value (0.0-1.0)
8.2855,5,0.026
8.2881,5,0.357
8.2907,5,0.468
8.2933,5,0.645
8.2957,5,0.776
8.2983,5,0.827
8.3009,5,0.91
8.3034,5,0.973
8.306,5,1.0
8.3086,5,1.0
8.3112,5,1.0
8.3137,5,1.0
8.3163,5,1.0
8.3189,5,1.0
8.3215,5,1.0
8.3242,5,1.0
8.3268,5,1.0
8.3293,5,1.0
8.3319,5,1.0
8.3345,5,1.0
8.3371,5,1.0
8.3397,5,1.0
8.3397,17,0.067
8.3421,5,0.977
8.3421,17,0.389
8.3447,5,0.911
8.3447,17,0.602
8.3474,5,0.866
8.3474,17,0.695
8.35,5,0.761
8.35,17,0.848
8.3526,5,0.696
8.3526,17,0.975
8.3553,5,0.551
8.3553,17,1.0
8.3575,5,0.469
8.3575,17,1.0
8.3601,5,0.292
8.3601,17,1.0
8.3628,5,0.089
8.3628,17,1.0
8.3655,17,1.0
8.3681,17,1.0
8.3708,17,1.0
8.3734,17,1.0
8.376,17,1.0
8.3787,17,1.0
8.3813,17,1.0
8.384,17,1.0
8.3865,17,1.0
8.3891,17,1.0
8.3917,17,1.0
8.3943,17,1.0
8.397,17,1.0
8.3996,17,1.0
8.4021,17,1.0
8.4047,17,1.0
8.4069,17,1.0
8.4095,17,1.0
8.4121,17,1.0
8.4147,5,0.032
8.4147,17,1.0
8.4175,5,0.04
8.4175,17,1.0
8.4202,5,0.04
8.4202,17,1.0
8.4229,5,0.06
8.4229,17,1.0
8.4255,5,0.068
8.4255,17,1.0
8.4281,5,0.111
8.4281,17,1.0
8.4307,5,0.14
8.4307,17,1.0
8.4332,5,0.219
8.4332,17,1.0
8.4358,5,0.315
8.4358,17,1.0
8.4382,5,0.37
8.4382,17,1.0
8.4407,5,0.427
8.4407,17,0.972
8.4433,5,0.541
8.4433,17,0.951
8.4457,5,0.652
8.4457,17,0.908
8.4481,5,0.708
8.4481,17,0.887
8.4508,5,0.809
8.4508,17,0.836
8.4535,5,0.859
8.4535,17,0.807
8.4561,5,0.952
8.4561,17,0.748
8.4587,5,1.0
8.4587,17,0.678
8.4614,5,1.0
8.4614,17,0.64
8.464,5,1.0
8.464,17,0.551
8.464,25,0.017
8.4666,5,1.0
8.4666,17,0.507
8.4666,25,0.022
8.4688,5,1.0
8.4688,17,0.458
8.4688,25,0.022
8.4714,5,1.0
8.4714,17,0.371
8.474,5,1.0
8.474,17,0.286
8.4766,5,1.0
8.4766,17,0.241
8.4792,5,1.0
8.4792,17,0.177
8.4815,5,1.0
8.4815,17,0.15
8.4841,5,0.982
8.4841,17,0.111
8.4867,5,0.961
8.4867,17,0.101
8.4889,5,0.902
8.4889,17,0.088
8.4916,5,0.863
8.4916,17,0.088
8.4942,5,0.769
8.4942,17,0.113
8.4968,5,0.711
8.4968,17,0.123
8.4994,5,0.582
8.4994,17,0.168
8.502,5,0.507
8.502,17,0.192
8.5046,5,0.342
8.5046,17,0.245
8.5072,5,0.25
8.5072,17,0.276
8.5095,5,0.052
8.5095,17,0.333
8.5121,17,0.393
8.5148,17,0.443
8.5174,17,0.469
8.52,17,0.522
8.5226,17,0.58
8.5253,17,0.637
8.5279,17,0.704
8.5305,17,0.733
8.5331,17,0.801
8.5356,17,0.868
8.538,17,0.935
8.5406,17,0.969
8.5432,17,1.0
8.5454,17,1.0
8.548,17,1.0
8.5506,17,1.0
8.5532,17,1.0
8.5558,17,1.0
8.5584,17,1.0
8.561,5,0.049
8.561,17,1.0
8.5636,5,0.063
8.5636,17,1.0
8.5659,5,0.081
8.5659,17,1.0
8.5685,5,0.086
8.5685,17,1.0
8.5711,5,0.109
8.5711,17,1.0
8.5737,5,0.143
8.5737,17,1.0
8.5764,5,0.169
8.5764,17,1.0
8.579,5,0.241
8.579,17,1.0
8.5816,5,0.274
8.5816,17,1.0
8.5844,5,0.363
8.5844,17,1.0
8.5869,5,0.456
8.5869,17,1.0
8.5895,5,0.502
8.5895,17,0.994
8.5921,5,0.594
8.5921,17,0.954
8.5946,5,0.643
8.5946,17,0.928
8.5973,5,0.734
8.5973,17,0.867
8.5995,5,0.778
8.5995,17,0.832
8.6021,5,0.863
8.6021,17,0.752
8.6043,5,0.904
8.6043,17,0.708
8.6069,5,0.981
8.6069,17,0.609
8.6095,5,1.0
8.6095,17,0.559
8.6122,5,1.0
8.6122,17,0.447
8.6144,5,1.0
8.6144,17,0.388
8.617,5,1.0
8.617,17,0.273
8.6196,5,1.0
8.6196,17,0.222
8.6223,5,1.0
8.6223,17,0.088
8.6249,5,1.0
8.6275,5,1.0
8.6301,5,1.0
8.6326,5,1.0
8.6352,5,1.0
8.6374,5,1.0
8.64,5,1.0
8.6425,5,0.985
8.6451,5,0.933
8.6477,5,0.896
8.6477,17,0.05
8.6504,5,0.811
8.6504,17,0.093
8.6529,5,0.707
8.6529,17,0.107
8.6555,5,0.648
8.6555,17,0.133
8.6579,5,0.511
8.6579,17,0.174
8.6606,5,0.426
8.6606,17,0.196
8.6633,5,0.24
8.6633,17,0.247
8.6659,5,0.042
8.6659,17,0.31
8.6685,17,0.348
8.671,17,0.415
8.6736,17,0.503
8.6761,17,0.59
8.6787,17,0.677
8.6813,17,0.728
8.6839,17,0.825
8.6862,17,0.931
8.6889,17,1.0
8.6917,17,1.0
8.6943,17,1.0
8.6969,17,1.0
8.6991,17,1.0
8.7018,17,1.0
8.7044,17,1.0
8.707,17,1.0
8.7096,17,1.0
8.7123,17,1.0
8.7149,5,0.026
8.7149,17,1.0
8.7175,5,0.072
8.7175,17,1.0
8.7198,5,0.112
8.7198,17,1.0
8.7224,5,0.193
8.7224,17,1.0
8.7251,5,0.246
8.7251,17,1.0
8.7278,5,0.346
8.7278,17,1.0
8.7302,5,0.399
8.7302,17,1.0
8.7327,5,0.509
8.7327,17,1.0
8.7354,5,0.565
8.7354,17,1.0
8.738,5,0.678
8.738,17,1.0
8.7406,5,0.733
8.7406,17,1.0
8.7432,5,0.831
8.7432,17,1.0
8.7458,5,0.93
8.7458,17,1.0
8.7484,5,0.976
8.7484,17,1.0
8.751,5,1.0
8.751,17,0.979
8.7534,5,1.0
8.7534,17,0.952
8.756,5,1.0
8.756,17,0.879
8.7584,5,1.0
8.7584,17,0.834
8.761,5,1.0
8.761,17,0.724
8.7636,5,1.0
8.7636,17,0.661
8.7662,5,1.0
8.7662,17,0.512
8.7689,5,1.0
8.7689,17,0.347
8.7716,5,1.0
8.7716,17,0.253
8.7743,5,1.0
8.7743,17,0.064
8.7769,5,1.0
8.7796,5,1.0
8.7821,5,1.0
8.7845,5,1.0
8.7867,5,1.0
8.7893,5,1.0
8.7918,5,1.0
8.7944,5,1.0
8.797,5,1.0
8.7995,5,1.0
8.8018,5,1.0
8.8018,17,0.023
8.8045,5,1.0
8.8045,17,0.035
8.8071,5,0.995
8.8071,17,0.053
8.8097,5,0.97
8.8097,17,0.062
8.8122,5,0.91
8.8122,17,0.072
8.8149,5,0.875
8.8149,17,0.072
8.8175,5,0.794
8.8175,17,0.101
8.82,5,0.75
8.82,17,0.101
8.8223,5,0.653
8.8223,17,0.123
8.825,5,0.601
8.825,17,0.136
8.8276,5,0.501
8.8276,17,0.177
8.8302,5,0.452
8.8302,17,0.197
8.8328,5,0.36
8.8328,17,0.258
8.8349,5,0.283
8.8349,17,0.317
8.8375,5,0.248
8.8375,17,0.347
8.8401,5,0.202
8.8401,17,0.413
8.8427,5,0.189
8.8427,17,0.449
8.8454,5,0.172
8.8454,17,0.511
8.848,5,0.172
8.848,17,0.543
8.8504,5,0.172
8.8504,17,0.606
8.853,5,0.172
8.853,17,0.634
8.8552,5,0.169
8.8552,17,0.684
8.8578,5,0.169
8.8578,17,0.702
8.8604,5,0.169
8.8604,17,0.735
8.863,5,0.169
8.863,17,0.748
8.8656,5,0.169
8.8656,17,0.765
8.8682,5,0.177
8.8682,17,0.772
8.8708,5,0.202
8.8708,17,0.778
8.8735,5,0.239
8.8735,17,0.778
8.8761,5,0.26
8.8761,17,0.778
8.8787,5,0.309
8.8787,17,0.778
8.8813,5,0.331
8.8813,17,0.778
8.884,5,0.382
8.884,17,0.765
8.8866,5,0.406
8.8866,17,0.751
8.8892,5,0.449
8.8892,17,0.717
8.8918,5,0.503
8.8918,17,0.658
8.8944,5,0.526
8.8944,17,0.626
8.897,5,0.58
8.897,17,0.545
8.8996,5,0.603
8.8996,17,0.498
8.9018,5,0.657
8.9018,17,0.398
8.9044,5,0.684
8.9044,17,0.339
8.9073,5,0.742
8.9073,17,0.216
8.9098,5,0.799
8.9098,17,0.08
8.9124,5,0.823
8.9149,5,0.872
8.9175,5,0.912
8.9202,5,0.945
8.9228,5,0.97
8.9253,5,0.978
8.928,5,0.992
8.9306,5,0.996
8.9333,5,1.0
8.9358,5,1.0
8.9384,5,1.0
8.9411,5,1.0
8.9411,17,0.053
8.9437,5,1.0
8.9437,17,0.116
8.9462,5,1.0
8.9462,17,0.148
8.9488,5,0.999
8.9488,17,0.199
8.9514,5,0.996
8.9514,17,0.226
8.954,5,0.982
8.954,17,0.293
8.9565,5,0.971
8.9565,17,0.336
8.9592,5,0.938
8.9592,17,0.41
8.9615,5,0.92
8.9615,17,0.451
8.964,5,0.871
8.964,17,0.545
8.9666,5,0.842
8.9666,17,0.598
8.9692,5,0.777
8.9692,17,0.717
8.9718,5,0.701
8.9718,17,0.848
8.9744,5,0.665
8.9744,17,0.917
8.9771,5,0.58
8.9771,17,1.0
8.9796,5,0.535
8.9796,17,1.0
8.9822,5,0.454
8.9822,17,1.0
8.9848,5,0.382
8.9848,17,1.0
8.9873,5,0.345
8.9873,17,1.0
8.9899,5,0.289
8.9899,17,1.0
8.9924,5,0.266
8.9924,17,1.0
8.9951,5,0.219
8.9951,17,1.0
8.9977,5,0.199
8.9977,17,1.0
9.0002,5,0.155
9.0002,17,1.0
9.0025,5,0.135
9.0025,17,1.0
9.0051,5,0.086
9.0051,17,1.0
9.0078,5,0.041
9.0078,17,1.0
9.0103,5,0.022
9.0103,17,1.0
9.0129,5,0.02
9.0129,17,1.0
9.0155,5,0.02
9.0155,17,1.0
9.0181,5,0.02
9.0181,17,1.0
9.0206,5,0.02
9.0206,17,1.0
9.0231,17,1.0
9.0258,17,1.0
9.0284,17,1.0
9.031,17,1.0
9.0336,17,1.0
9.0359,17,1.0
9.0386,17,1.0
9.0409,17,1.0
9.0435,17,1.0
9.0461,17,1.0
9.0487,17,1.0
9.0509,17,1.0
9.0535,17,1.0
9.0559,17,1.0
9.0585,17,1.0
9.0611,17,1.0
9.0637,17,1.0
9.0659,17,0.977
9.0686,17,0.958
9.0711,17,0.912
9.0734,17,0.857
9.0761,17,0.785
9.0786,17,0.746
9.0811,17,0.655
9.0837,17,0.549
9.0863,17,0.444
9.0889,17,0.35
9.0915,17,0.29
9.0941,17,0.163
9.4614,5,0.254
9.4638,5,0.593
9.466,5,0.805
9.4687,5,0.889
9.4713,5,1.0
9.4739,5,1.0
9.4761,5,1.0
9.4787,5,1.0
9.4813,5,1.0
9.4839,5,0.998
9.4865,5,0.977
9.4891,5,0.932
9.4917,5,0.908
9.4942,5,0.861
9.4969,5,0.818
9.4994,5,0.772
9.502,5,0.72
9.5046,5,0.695
9.5072,5,0.628
9.5098,5,0.548
9.5124,5,0.505
9.515,5,0.405
9.5173,5,0.282
9.5199,5,0.215
9.5225,5,0.051
9.5225,17,0.357
9.5251,17,0.578
9.5277,17,0.663
9.5304,17,0.814
9.533,17,0.939
9.5356,17,1.0
9.5382,17,1.0
9.5403,17,1.0
9.543,17,1.0
9.5455,17,1.0
9.5481,17,1.0
9.5507,17,1.0
9.5533,17,1.0
9.5559,17,1.0
9.5585,17,1.0
9.5611,17,1.0
9.5636,17,1.0
9.5662,17,1.0
9.5688,17,1.0
9.5714,17,1.0
9.574,17,1.0
9.5765,17,1.0
9.579,5,0.06
9.579,17,1.0
9.5816,5,0.101
9.5816,17,1.0
9.5843,5,0.191
9.5843,17,1.0
9.5868,5,0.292
9.5868,17,1.0
9.5894,5,0.344
9.5894,17,1.0
9.592,5,0.446
9.592,17,1.0
9.5946,5,0.5
9.5946,17,1.0
9.5972,5,0.612
9.5972,17,1.0
9.5998,5,0.671
9.5998,17,1.0
9.6023,5,0.788
9.6023,17,0.998
9.6049,5,0.846
9.6049,17,0.978
9.6075,5,0.966
9.6075,17,0.926
9.6101,5,1.0
9.6101,17,0.892
9.6127,5,1.0
9.6127,17,0.81
9.6153,5,1.0
9.6153,17,0.717
9.6179,5,1.0
9.6179,17,0.666
9.6205,5,1.0
9.6205,17,0.554
9.623,5,1.0
9.623,17,0.496
9.6256,5,1.0
9.6256,17,0.432
9.6256,25,0.048
9.6282,5,1.0
9.6282,17,0.293
9.6282,25,0.219
9.6308,5,1.0
9.6308,17,0.158
9.6308,25,0.266
9.6335,5,1.0
9.6335,17,0.085
9.6335,25,0.266
9.636,5,1.0
9.636,17,0.018
9.636,25,0.252
9.6386,5,1.0
9.6386,25,0.164
9.6413,5,1.0
9.6413,25,0.1
9.6439,5,1.0
9.6464,5,1.0
9.649,5,1.0
9.6512,5,1.0
9.6537,5,1.0
9.6564,5,1.0
9.6589,5,1.0
9.6615,5,1.0
9.6637,5,1.0
9.6637,17,0.056
9.6664,5,0.985
9.6664,17,0.062
9.6691,5,0.943
9.6691,17,0.111
9.6715,5,0.919
9.6715,17,0.154
9.6741,5,0.857
9.6741,17,0.254
9.6767,5,0.779
9.6767,17,0.378
9.6793,5,0.734
9.6793,17,0.444
9.6819,5,0.636
9.6819,17,0.567
9.6844,5,0.583
9.6844,17,0.63
9.687,5,0.464
9.687,17,0.766
9.6897,5,0.341
9.6897,17,0.911
9.6923,5,0.276
9.6923,17,0.989
9.6949,5,0.155
9.6949,17,1.0
9.6975,5,0.098
9.6975,17,1.0
9.7,17,1.0
9.7023,17,1.0
9.7049,17,1.0
9.7074,5,0.038
9.7074,17,1.0
9.71,5,0.119
9.71,17,1.0
9.7126,5,0.16
9.7126,17,1.0
9.7152,5,0.28
9.7152,17,1.0
9.7178,5,0.349
9.7178,17,1.0
9.7204,5,0.489
9.7204,17,1.0
9.723,5,0.561
9.723,17,1.0
9.7256,5,0.707
9.7256,17,1.0
9.7281,5,0.844
9.7281,17,1.0
9.7307,5,0.909
9.7307,17,1.0
9.7334,5,1.0
9.7334,17,1.0
9.736,5,1.0
9.736,17,1.0
9.7386,5,1.0
9.7386,17,1.0
9.7412,5,1.0
9.7412,17,1.0
9.7412,25,0.022
9.7438,5,1.0
9.7438,17,1.0
9.7438,25,0.065
9.7463,5,1.0
9.7463,17,1.0
9.7463,25,0.069
9.7489,5,1.0
9.7489,17,1.0
9.7489,25,0.072
9.7515,5,1.0
9.7515,17,1.0
9.7515,25,0.072
9.7541,5,1.0
9.7541,17,1.0
9.7541,25,0.072
9.7569,5,1.0
9.7569,17,1.0
9.7569,25,0.066
9.7595,5,1.0
9.7595,17,1.0
9.7595,25,0.051
9.7621,5,1.0
9.7621,17,1.0
9.7621,25,0.04
9.7646,5,1.0
9.7646,17,1.0
9.7646,25,0.034
9.7673,5,1.0
9.7673,17,1.0
9.7673,25,0.034
9.7699,5,1.0
9.7699,17,1.0
9.7699,25,0.031
9.7725,5,1.0
9.7725,17,0.984
9.7725,25,0.028
9.7751,5,1.0
9.7751,17,0.926
9.7776,5,1.0
9.7776,17,0.891
9.7802,5,1.0
9.7802,17,0.812
9.7828,5,1.0
9.7828,17,0.767
9.7854,5,1.0
9.7854,17,0.671
9.788,5,1.0
9.788,17,0.626
9.7906,5,0.984
9.7906,17,0.529
9.7932,5,0.942
9.7932,17,0.456
9.7958,5,0.917
9.7958,17,0.421
9.7984,5,0.858
9.7984,17,0.389
9.801,5,0.828
9.801,17,0.377
9.8036,5,0.761
9.8036,17,0.377
9.8061,5,0.727
9.8061,17,0.377
9.8083,5,0.646
9.8083,17,0.419
9.8109,5,0.606
9.8109,17,0.44
9.8135,5,0.51
9.8135,17,0.51
9.8161,5,0.459
9.8161,17,0.542
9.8187,5,0.35
9.8187,17,0.615
9.8208,5,0.289
9.8208,17,0.648
9.8234,5,0.155
9.8234,17,0.721
9.826,17,0.801
9.8286,17,0.84
9.8312,17,0.921
9.8339,17,1.0
9.8365,17,1.0
9.8391,17,1.0
9.8417,17,1.0
9.8442,17,1.0
9.8468,17,1.0
9.8494,17,1.0
9.852,17,1.0
9.8545,17,1.0
9.8571,17,1.0
9.8597,17,1.0
9.8623,17,1.0
9.8649,17,1.0
9.8675,5,0.02
9.8675,17,1.0
9.8701,5,0.045
9.8701,17,1.0
9.8727,5,0.109
9.8727,17,1.0
9.8754,5,0.148
9.8754,17,1.0
9.8779,5,0.25
9.8779,17,1.0
9.8805,5,0.362
9.8805,17,1.0
9.8831,5,0.422
9.8831,17,1.0
9.8856,5,0.549
9.8856,17,1.0
9.8883,5,0.61
9.8883,17,1.0
9.8908,5,0.733
9.8908,17,1.0
9.8934,5,0.794
9.8934,17,1.0
9.896,5,0.909
9.896,17,1.0
9.8985,5,0.968
9.8985,17,1.0
9.9007,5,1.0
9.9007,17,1.0
9.9034,5,1.0
9.9034,17,1.0
9.9059,5,1.0
9.9059,17,1.0
9.9085,5,1.0
9.9085,17,1.0
9.9111,5,1.0
9.9111,17,1.0
9.9138,5,1.0
9.9138,17,1.0
9.9164,5,1.0
9.9164,17,1.0
9.9189,5,1.0
9.9189,17,0.983
9.9215,5,1.0
9.9215,17,0.95
9.9241,5,1.0
9.9241,17,0.864
9.9267,5,1.0
9.9267,17,0.819
9.9293,5,1.0
9.9293,17,0.725
9.9318,5,1.0
9.9318,17,0.63
9.9345,5,1.0
9.9345,17,0.577
9.9371,5,1.0
9.9371,17,0.471
9.9396,5,1.0
9.9396,17,0.415
9.9422,5,1.0
9.9422,17,0.312
9.9448,5,0.976
9.9448,17,0.234
9.9474,5,0.948
9.9474,17,0.21
9.95,5,0.879
9.95,17,0.188
9.9525,5,0.836
9.9525,17,0.183
9.9551,5,0.737
9.9551,17,0.19
9.9577,5,0.679
9.9577,17,0.228
9.9599,5,0.553
9.9599,17,0.312
9.9626,5,0.481
9.9626,17,0.371
9.9651,5,0.327
9.9651,17,0.495
9.9678,5,0.157
9.9678,17,0.618
9.9704,5,0.068
9.9704,17,0.682
9.9729,17,0.818
9.9755,17,0.887
9.9781,17,1.0
9.9807,17,1.0
9.9834,17,1.0
9.9859,17,1.0
9.9881,17,1.0
9.9906,17,1.0
9.9932,17,1.0
9.9958,17,1.0
9.9983,17,1.0
10.0009,17,1.0
10.0035,17,1.0
10.0062,17,1.0
10.0087,17,1.0
10.0113,17,1.0
10.0139,17,1.0
10.0165,17,1.0
10.0186,17,1.0
10.0212,17,1.0
10.0238,5,0.048
10.0238,17,1.0
10.0264,5,0.077
10.0264,17,1.0
10.0289,5,0.148
10.0289,17,1.0
10.0316,5,0.199
10.0316,17,1.0
10.0343,5,0.326
10.0343,17,1.0
10.0369,5,0.391
10.0369,17,1.0
10.0396,5,0.536
10.0396,17,1.0
10.0423,5,0.61
10.0423,17,1.0
10.0448,5,0.764
10.0448,17,1.0
10.0475,5,0.914
10.0475,17,1.0
10.05,5,0.985
10.05,17,1.0
10.0526,5,1.0
10.0526,17,1.0
10.055,5,1.0
10.055,17,0.992
10.0576,5,1.0
10.0576,17,0.972
10.0602,5,1.0
10.0602,17,0.916
10.0628,5,1.0
10.0628,17,0.839
10.0654,5,1.0
10.0654,17,0.795
10.0679,5,1.0
10.0679,17,0.682
10.0705,5,1.0
10.0705,17,0.615
10.0731,5,1.0
10.0731,17,0.476
10.0757,5,1.0
10.0757,17,0.32
10.0783,5,1.0
10.0783,17,0.241
10.0809,5,1.0
10.0809,17,0.069
10.0835,5,1.0
10.086,5,1.0
10.0886,5,0.988
10.0912,5,0.955
10.0938,5,0.914
10.0964,5,0.891
10.099,5,0.839
10.1013,5,0.808
10.104,5,0.74
10.1066,5,0.663
10.1092,5,0.617
10.1118,5,0.524
10.1144,5,0.414
10.117,5,0.294
10.1195,5,0.217
10.1219,5,0.06
10.1296,17,0.023
10.1323,17,0.047
10.1345,17,0.093
10.1371,17,0.148
10.1397,17,0.174
10.1423,17,0.238
10.1449,17,0.315
10.1475,17,0.385
10.1501,17,0.464
10.1528,17,0.539
10.1554,17,0.577
10.158,17,0.65
10.1606,17,0.715
10.1632,17,0.78
10.1658,17,0.832
10.1684,17,0.857
10.171,17,0.899
10.1735,17,0.935
10.1761,17,0.968
10.1787,17,0.995
10.1813,17,1.0
10.1839,5,0.029
10.1839,17,1.0
10.1865,5,0.051
10.1865,17,1.0
10.1891,5,0.119
10.1891,17,1.0
10.1917,5,0.169
10.1917,17,1.0
10.1943,5,0.285
10.1943,17,1.0
10.1969,5,0.439
10.1969,17,1.0
10.1994,5,0.52
10.1994,17,1.0
10.202,5,0.704
10.202,17,1.0
10.2046,5,0.81
10.2046,17,1.0
10.2072,5,1.0
10.2072,17,0.992
10.2098,5,1.0
10.2098,17,0.949
10.2124,5,1.0
10.2124,17,0.923
10.2149,5,1.0
10.2149,17,0.864
10.2175,5,1.0
10.2175,17,0.834
10.2202,5,1.0
10.2202,17,0.774
10.2228,5,1.0
10.2228,17,0.743
10.2228,25,0.02
10.2254,5,1.0
10.2254,17,0.711
10.2254,25,0.082
10.228,5,1.0
10.228,17,0.645
10.228,25,0.153
10.2306,5,1.0
10.2306,17,0.611
10.2306,25,0.171
10.2332,5,1.0
10.2332,17,0.546
10.2332,25,0.179
10.2358,5,1.0
10.2358,17,0.517
10.2358,25,0.179
10.2385,5,1.0
10.2385,17,0.492
10.2385,25,0.173
10.2411,5,1.0
10.2411,17,0.456
10.2411,25,0.124
10.2436,5,1.0
