AuthorID,Author,Date,Content,Attachments,Reactions
"863172591615082549","lungkancer","2023-08-04T20:23:21.7520000+02:00","","https://cdn.discordapp.com/attachments/1137088178390577154/1137088404471947485/52a107ea43777313cb03027b01de6b04.jpg?ex=686eb399&is=686d6219&hm=89ba80ff57d8e73f63e6b893f0e67f02a92bd9dc92d020fc66ee98f03af2bba6&",""
"736301671772061828","0_____________________________.0","2023-08-04T20:23:32.6300000+02:00","thanks bby","",""
"736301671772061828","0_____________________________.0","2023-08-04T20:23:36.9590000+02:00","make it rain","",""
"863172591615082549","lungkancer","2023-08-04T21:29:00.1960000+02:00","Intense sucking noise intense sucking noise","",""
"736301671772061828","0_____________________________.0","2023-08-04T21:29:16.6750000+02:00","なんてことだ。","",""
"863172591615082549","lungkancer","2023-08-04T21:29:50.5370000+02:00","real","",""
"736301671772061828","0_____________________________.0","2023-08-04T21:30:09.9160000+02:00","u good?","",""
"863172591615082549","lungkancer","2023-08-04T21:30:15.2700000+02:00","yes","",""
"863172591615082549","lungkancer","2023-08-04T21:30:19.7480000+02:00","y u muted","",""
"736301671772061828","0_____________________________.0","2023-08-04T21:30:32.1820000+02:00","I have to be quiet tbh","",""
"863172591615082549","lungkancer","2023-08-04T21:30:40.5870000+02:00","why whats up","",""
"863172591615082549","lungkancer","2023-08-04T21:30:44.5100000+02:00","sum bothering u?","",""
"736301671772061828","0_____________________________.0","2023-08-04T21:30:56.7710000+02:00","My neighbors might call on me","",""
"863172591615082549","lungkancer","2023-08-04T21:31:08.7770000+02:00","damn nosey ahh neighbors","",""
"863172591615082549","lungkancer","2023-08-04T21:31:16.2220000+02:00","Shove a stick up their ass fr","",""
"736301671772061828","0_____________________________.0","2023-08-04T21:31:17.9710000+02:00","It is what it is...","",""
"736301671772061828","0_____________________________.0","2023-08-04T21:31:47.8870000+02:00","So you guys are legit in a relationship or just joking in the server?","",""
