AuthorID,Author,Date,Content,Attachments,Reactions
"736301671772061828","0_____________________________.0","2024-11-10T16:10:41.7030000+01:00","","",""
"755454471366115328","idunno_225","2024-11-10T16:15:21.2900000+01:00","","",""
"755454471366115328","idunno_225","2024-11-10T16:15:33.2120000+01:00","😗","",""
"755454471366115328","idunno_225","2024-11-10T16:15:50.7100000+01:00","Hej pookie","",""
"736301671772061828","0_____________________________.0","2024-11-10T16:19:06.7930000+01:00","Hey, whatsup","",""
"755454471366115328","idunno_225","2024-11-12T08:52:21.9850000+01:00","Ne vem zaka sm te dodala sorry😐","",""
"736301671772061828","0_____________________________.0","2024-11-12T09:52:19.9430000+01:00","💀
>))>
_/\_ 
Are you serious right now","",""
"755454471366115328","idunno_225","2024-11-12T10:26:43.6930000+01:00","Ja ᴖ̈","",""
"736301671772061828","0_____________________________.0","2024-11-12T11:55:39.0220000+01:00",":((((((","",""
"736301671772061828","0_____________________________.0","2024-11-12T11:55:41.2410000+01:00","Imagine","",""
"736301671772061828","0_____________________________.0","2024-11-12T13:37:33.4340000+01:00","How could you leave me :(","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:19:13.4620000+01:00","Omg message deleter","",""
"755454471366115328","idunno_225","2024-11-12T22:22:34.4500000+01:00","Sorci😞😞😞😞😞","",""
"755454471366115328","idunno_225","2024-11-12T22:23:03.6770000+01:00","Nism nic deletala kaj","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:25:31.6210000+01:00","Vidu sm notif od te, pa sm mislu da si kej zbrisala","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:26:00.3320000+01:00","Apology accepted","",""
"755454471366115328","idunno_225","2024-11-12T22:26:41.1180000+01:00","(\_/) 
( •-•)
/>🚫","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:26:58.3820000+01:00","Ne me bannat :(","","🥺 (1)"
"755454471366115328","idunno_225","2024-11-12T22:27:24.3390000+01:00","Too late😞","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:27:42.9760000+01:00","Omg, what did you dooo, what did you tell the opps????£!£!#","",""
"755454471366115328","idunno_225","2024-11-12T22:28:27.7820000+01:00","I don't get the reference sorc","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:28:56.5660000+01:00","Ni referenca sm poklicala si policijo da me bennajo :(","",""
"755454471366115328","idunno_225","2024-11-12T22:31:01.1700000+01:00","Okej zuni sm ofn vrata🔫","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:31:40.9040000+01:00","Okay, im oiling up pookie","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:31:48.9190000+01:00","Wait 5 minutes","",""
"755454471366115328","idunno_225","2024-11-12T22:31:54.0000000+01:00","😈😈😈😈😈😈😈😈😈","",""
"755454471366115328","idunno_225","2024-11-12T22:32:12.2950000+01:00","Nimam casa za to bend over","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:34:42.9710000+01:00",":nowaying:","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:34:59.8890000+01:00","Omg what happened to 'hi'","",""
"755454471366115328","idunno_225","2024-11-12T22:39:48.6690000+01:00","Hi😚","",""
"755454471366115328","idunno_225","2024-11-12T22:44:36.1130000+01:00","My bad baby gurl","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:48:02.0110000+01:00","It's okay, no need to apologize","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:48:20.5990000+01:00","Wassup, what's going on?","",""
"755454471366115328","idunno_225","2024-11-12T22:50:58.5370000+01:00","fr sigmas don't apologise","",""
"755454471366115328","idunno_225","2024-11-12T22:51:10.9400000+01:00","Z mano?","",""
"755454471366115328","idunno_225","2024-11-12T22:51:41.1400000+01:00","Currently studying sociology","",""
"755454471366115328","idunno_225","2024-11-12T22:51:44.8850000+01:00","Wbu","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:57:24.9500000+01:00","Sociology major?","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:57:27.6000000+01:00","Wow","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:57:36.9260000+01:00","Druzbene vede studiras?","",""
"755454471366115328","idunno_225","2024-11-12T22:58:39.1040000+01:00","Neee sredna sola sm dummy","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:58:48.6410000+01:00","Srednja sola sociologija?","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:58:51.9490000+01:00","Nikol slisou","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:58:59.0860000+01:00","Sm gimnazija","",""
"755454471366115328","idunno_225","2024-11-12T22:59:19.2660000+01:00","Na gimnaziji mas v 3. Letniku sociologijo","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:59:30.1850000+01:00","Vem","",""
"755454471366115328","idunno_225","2024-11-12T22:59:31.4180000+01:00","Ja ti si gimnazija","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:59:35.4090000+01:00","Sem bil","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:59:45.6850000+01:00","Ampk sm zrd korone su na kemijski tehnik","",""
"755454471366115328","idunno_225","2024-11-12T22:59:45.8910000+01:00","Oh wow besties","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:59:56.8350000+01:00","You too?","",""
"736301671772061828","0_____________________________.0","2024-11-12T22:59:58.7900000+01:00","Ahhah","",""
"755454471366115328","idunno_225","2024-11-12T23:00:12.9300000+01:00","Ohh smart😮‍💨 obzalujem gimnazijo","",""
"755454471366115328","idunno_225","2024-11-12T23:00:23.4070000+01:00","Ja js sm gimnazija ja","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:00:35.3140000+01:00","Moje sozalje","","🤧 (1)"
"736301671772061828","0_____________________________.0","2024-11-12T23:00:50.7260000+01:00","Upam da ti na maturi uspe kaj tock pridobit","",""
"755454471366115328","idunno_225","2024-11-12T23:01:11.1380000+01:00","Hahaha hvala","",""
"755454471366115328","idunno_225","2024-11-12T23:01:21.4660000+01:00","Mogoc celo kako","",""
"755454471366115328","idunno_225","2024-11-12T23:01:36.0250000+01:00","Hvala za support","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:01:38.9670000+01:00","Sej splosna matura ni tezka, baje :3","",""
"755454471366115328","idunno_225","2024-11-12T23:01:53.3830000+01:00","🤨","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:02:03.6430000+01:00","Splosna raven je tko res osnovna","",""
"755454471366115328","idunno_225","2024-11-12T23:03:06.2980000+01:00","Okey sej mby res ni tak tezk","",""
